tcm_code,tcm_name
ZBRDD0,热毒闭肺证
ZBRDE0,热毒冲心证
ZBRDF0,热毒酿脓证
ZBRDG0,热毒伤阴证
ZBRDG1,热毒伤津证
ZBRDH0,热毒火盛证
ZBRDM0,胎毒蕴热证
ZBRF10,热伤肺津证
ZBRF20,热伤肺络证
ZBRF30,热客肺经证
ZBRF40,热犯肺胃证
ZBRF50,热壅肺窍证
ZBRF60,热入肺卫证
ZBRF61,热在肺卫证
ZBRF70,热蕴大肠证
ZBRF80,热结肠燥证
ZBRF90,热邪犯肺证
ZBRFA0,热邪壅肺证
ZBRG10,热郁胆腑证
ZBRJ10,热盛伤络证
ZBRJ20,热蕴络瘀证
ZBRJ30,疫热伤络证
ZBRJA0,热盛津枯证
ZBRJB0,热盛伤津证
ZBRJL0,热陷厥阴证
ZBRV10,热入气分证
ZBRV11,热在气分证
ZBRS10,热伤肾阴证
ZBRS20,热迫膀胱证
ZBRSA0,热伏少阳证
ZBRSB0,热郁少阳证
ZBRX10,热陷心包证
ZBRX20,热闭心包证
ZBRX21,热闭心包，血络瘀滞证
ZBRX30,热入心包证
ZBRX31,热入心包，阳明腑实证
ZBRX40,热在心营证
ZBRX41,热在心营，下移小肠证
ZBRXA0,热盛血瘀证
ZBRXB0,热盛动血证
ZBRXC0,热迫血证
ZBRXD0,热结血瘀证
ZBRXE0,热与血结证
ZBRXF0,热入血结证
ZBRXL0,热入血分证
ZBRXL1,热在血分证
ZBRY10,热盛伤阴证
ZBRY11,高热伤阴证
ZBRY20,热退阴伤证
ZBRY30,热留阴分证
ZBRY40,热灼真阴证
ZBRYA0,热入营血证
ZBRYA1,热在营血证
ZBRYB0,热灼营阴证
ZBRYL0,热入阳明证
ZBRYN0,热滞阳明证
ZBD,毒证类
ZBD010,毒腐肌骨证
ZBD020,毒滞肌肤证
ZBD030,毒盛酿脓证
ZBD040,毒盛肉腐证
ZBD050,毒蕴溃烂证
ZBD051,蕴毒腐溃证
ZBD060,脓毒侵袭证
ZBD070,脓毒蚀骨证
ZBD080,脓毒犯脏证
ZBD090,瘟毒下注证
ZBD100,温毒袭表证
ZBD110,温毒在表证
ZBD120,蛇毒内攻证
ZBD130,蛇毒上攻证
ZBD140,痧毒上攻证
ZBD150,疫毒攻窜证
ZBD160,疫毒攻喉证
ZBD170,疫毒内闭证
ZBD180,疫毒侵袭证
ZBD190,疫毒薰蒸证
ZBD200,余毒攻窜证
ZBD210,余毒凝滞证
ZBD220,余毒未清证
ZBD221,余毒未清，卫气虚弱证
ZBD230,正虚毒炽证
ZBD240,正虚毒结证
ZBD250,正虚毒恋证
ZBD251,体虚毒恋证
ZBD260,先天遗毒证
ZBD270,毒邪蕴结证
ZBD280,毒邪流窜证
ZBD290,毒邪内闭证
ZBD300,毒邪内攻证
ZBD310,邪毒在表证
ZBD320,邪毒内拢证
ZBD330,邪毒内陷证
ZBD331,邪毒内陷心脏证
ZBD340,邪毒久留证
ZBD341,邪毒久留，气滞血瘀证
ZBD350,邪毒滞留，气血瘀阻证
ZBD360,邪毒入营证
ZBD370,邪毒壅塞证
ZBD380,邪毒引睾窜腹证
ZBD390,邪毒传里，肺胃热盛证
ZBDF10,毒侵肺卫证
ZBDV10,毒入气营证
ZBDV11,毒在气营证
ZBDV20,毒燔气营证
ZBDV30,毒壅气分证
ZBDV40,毒燔气血证
ZBDX10,毒陷心肝证
ZBDXA0,毒入血分证
ZBDY10,余毒伤阴证
ZBDYA0,毒入营血证
ZBX,邪证类
ZBX010,邪犯脏腑证
ZBX020,邪陷正脱证
ZBX030,邪阻膜原证
ZBX031,邪伏膜原证
ZBX040,外邪侵入证
ZBX041,外邪侵入，热毒炽盛证
ZBX050,温邪内陷证
ZBX060,余邪未尽证
ZBX061,余邪未尽，痰瘀滞络证
ZBX070,余邪留恋证
ZBX071,余邪留恋，气阴两伤证
ZBX080,余邪扰目证
ZBX090,正盛邪实证
ZBX100,正虚邪恋证
ZBX101,正虚邪恋，肺脾气虚证
ZBX102,正虚邪恋，风内扰动证
ZBX103,正虚邪恋，痰蒙清窍证
ZBX104,正虚邪恋，阴虚肺热证
ZBX105,正虚邪恋，余热未清证
ZBX110,正虚邪留证
ZBX120,正虚邪实证
ZBX130,正虚邪衰证
ZBX140,邪气阻闭证
ZBXF10,邪入肺卫证
ZBXF11,邪在肺卫证
ZBXF20,邪郁肺卫证
ZBXF30,邪侵肺卫证
ZBXF31,邪袭肺卫证
ZBXF40,邪犯肺胃证
ZBXF50,邪郁肺胃证
ZBXF60,邪犯胸肺证
ZBXF70,邪结肠腑证
ZBXG10,邪犯肝脾证
ZBXG20,邪窜肝经证
ZBXJ10,邪注经络证
ZBXJ20,邪壅经络证
ZBXJ30,邪窜经络证
ZBXJA0,邪犯厥阴证
ZBXP10,外邪犯胃证
ZBXV10,邪入气营证
ZBXV11,邪在气营证
ZBXV12,邪入气营，热毒内陷证
ZBXV13,邪入气营，热毒内蕴证
ZBXV20,邪入气分证
ZBXV21,邪在气分证
ZBXS10,邪郁少阳证
ZBXS10,邪入少阳证
ZBXS21,邪在少阳证
ZBXU10,邪郁化火证
ZBXW10,邪入卫气证
ZBXW11,邪在卫气证
ZBXW20,邪遏卫气证
ZBXW30,邪郁卫气证
ZBXX10,邪犯心肝证
ZBXX20,邪陷心肝证
ZBXX21,邪陷心肝，血热动风证
ZBXX30,邪陷心包证
ZBXXA0,邪入血分证
ZBXXA1,邪在血分证
ZBXY10,邪恋阴伤证
ZBXY20,邪留阴分证
ZBXYA0,邪入营血证
ZBXYA1,邪在营血证
ZBXYB0,邪入营分证
ZBXYB1,邪在营分证
ZBV,情志证类
ZBV010,情志郁结证
ZBV011,情志抑郁证
ZBV020,情志内伤证
ZBV030,情志失调证
ZBV040,忧郁伤神证
ZBV050,惊恐证
ZBV060,惊恐伤神证
ZBV070,惊恐惊厥证
ZBV080,惊恐痉厥证
ZBV090,暴受惊恐证
ZBV100,惊恐惊风证
ZBVP10,思虚伤脾证
ZBVV10,惊恐气逆证
ZBVS10,惊恐伤肾证
ZBVS11,恐惧伤肾证
ZBY,饮食证类
ZBY010,食滞证
ZBY011,饮食积滞证
ZBY020,饮食停滞证
ZBY030,伤食证
ZBY040,伤食痛证
ZBY050,伤乳证
ZBY060,乳食积滞证
ZBY061,乳食内积证
ZBY062,乳食壅积证
ZBYP10,宿食伤脾证
ZBYP20,食滞胃肠证
ZBYP30,乳食伤胃证
ZBYP40,积滞伤胃证
ZBYT10,食滞痰阻证
ZBYT20,食浊阻滞证
ZBW,外伤证类
ZBW000,外伤证
ZBW010,跌仆伤胎证
ZBW020,皮肉破损证
ZBW030,眼珠破损证
ZBW031,眼珠破损，风邪乘袭证
ZBWJ10,外伤损络证
ZBWJ20,外伤目络证
ZBWX10,外伤血瘀证
ZBWX11,外伤瘀滞证
ZBWX20,鼻伤衄血证
ZBC,虫证类
ZBC010,虫积证
ZBC011,虫结证
ZBC020,虫积化疳证
ZBC030,虫寄皮下证
ZBC040,虫侵于脑证
ZBC041,囊虫侵脑证
ZBC050,虫扰魄门证
ZBC060,蛔虫上扰证
ZBC070,蛔厥证
ZBCD10,虫毒结聚证
ZBCD20,虫毒结肤证
ZBCD30,蛊毒侵肺证
ZBCF10,虫邪犯肺证
ZBCF20,虫扰于肠证
ZBCF30,虫积肠道证
ZBCP10,虫积伤脾证
ZBCM10,虫湿壅络证
ZBCT10,虫痰互结证
ZYY,阴证类
ZYY010,亡阴证
ZYY020,阴闭证
ZYY030,伤阴证
ZYY040,腑实阴伤证
ZYY050,久病伤阴证
ZYY051,久病伤阴，虚火上炎证
ZYY060,疹后阴伤证
ZYY070,真阴衰竭证
ZYYA10,阴阳两虚证
ZYYA20,阴阳失调证
ZYYA30,阴阳离决证
ZYYA40,阴盛阳衰证
ZYYA41,阴盛阳虚证
ZYYA50,阴损及阳证
ZYYA60,阴损阳亏证
ZYYA70,阴竭阳脱证
ZYYA80,阴虚阳浮证
ZYYA90,阴虚阳亢证
ZYYA91,阴虚阳亢，风阳上扰证
ZYYD10,阴毒外发证
ZYYD20,阴虚毒恋证
ZYYF10,阴虚肺热证
ZYYF20,阴虚肺燥证
ZYYF30,阴虚肠燥证
ZYYG10,阴虚肝旺证
ZYYG20,阴虚风动证
ZYYH00,阴寒证
ZYYH10,阴寒凝聚证
ZYYH11,阴寒凝滞证
ZYYH20,阴寒内闭证
ZYYH21,阴寒内结证
ZYYM10,阴虚湿热证
ZYYP10,阴伤胃败证
ZYYV10,阴伤气耗证
ZYYR10,阴虚内热证
ZYYR20,阴虚热郁证
ZYYR30,阴虚热毒证
ZYYS00,阴暑证
ZYYSA0,阴虚肾亏证
ZYYT10,阴闭痰湿证
ZYYT20,阴虚痰热证
ZYYT30,阴虚痰火证
ZYYU10,阴虚火动证
ZYYU20,阴虚火浮证
ZYYU30,阴虚火旺证
ZYYU31,阴虚火炽证
ZYYU40,虚火上炎证
ZYYU41,虚火上浮证
ZYYX10,阴虚邪恋证
ZYYX11,阴虚邪留证
ZYYXA0,阴虚血瘀证
ZYYXB0,阴虚血热证
ZYYXC0,阴虚血燥证
ZYYZ10,阴虚燥热证
ZYA,阳证类
ZYA010,元阳外脱证
ZYA020,阳虚失养证
ZYA030,阳虚欲脱证
ZYA040,清阳不升证
ZYA050,虚阳上浮证
ZYA060,阳闭证
ZYA070,伤阳证
ZYA080,亡阳证
ZYA090,阳气亏虚证
ZYA100,阳气虚衰证
ZYA110,阳气欲脱证
ZYA120,阳气暴脱证
ZYAD10,阳毒外发证
ZYAH10,阳虚内寒证
ZYAH20,阳虚寒凝证
ZYAH30,阳虚寒盛证
ZYAH40,阳虚寒湿阻络证
ZYAH50,阳虚寒痰证
ZYAS00,阳暑证
ZYAT10,阳虚痰凝证
ZYAT20,阳虚水泛证
ZYAX10,阳虚血瘀证
ZYV,气证类
ZYV010,气闭证
ZYV020,气结证
ZYV030,气机不利证
ZYV040,气机阻滞证
ZYV041,气机郁滞证
ZYV042,气机壅闭证
ZYV050,气机失调证
ZYV060,气机逆乱证
ZYV061,气机逆乱，阻塞清窍证
ZYV070,气化不及证
ZYV071,气化不及，膀胱空虚证
ZYV080,气滞胸膈证
ZYV090,气虚证
ZYV100,气虚不摄证
ZYV101,气不摄精证
ZYV110,气虚不运证
ZYV120,气虚下陷证
ZYV130,气虚欲脱证
ZYV140,气郁证
ZYV150,气滞证
ZYV160,气脱证
ZYV170,清气不升证
ZYV180,上气不足证
ZYV190,元气衰败证
ZYV200,元气败脱证
ZYV201,元气败脱，心神散乱证
ZYV210,元气不足证
ZYV211,元气不足，阴血亏损证
ZYV220,元气亏虚证
ZYV230,中气不中证
ZYV231,中气不足，膀胱失约证
ZYV240,中气亏虚证
ZYV250,中气下陷证
ZYV251,中气下陷，清阳不升证
ZYV252,中气下陷，膀胱失约证
ZYV260,腑气不通证
ZYV270,痹气郁结证
ZYVA10,气虚阳微证
ZYVD10,气虚毒滞证
ZYVH10,中气虚寒证
ZYVM10,气滞湿阻证
ZYVM20,气虚湿阻证
ZYVJ10,气虚络损证
ZYVR10,气郁化热证
ZYVR20,气滞热壅证
ZYVT10,气滞痰凝证
ZYVT11,气滞痰郁证
ZYVT12,气痰阻证
ZYVT20,气滞痰瘀证
ZYVT30,气滞水停证
ZYVT40,气虚水停证
ZYVT50,气虚痰结证
ZYVT51,气虚痰滞证
ZYVT60,气郁痰凝证
ZYVT61,气郁痰结证
ZYVT70,气郁痰阻证
ZYVU10,气火郁结证
ZYVU20,气郁化火证
ZYVX10,气血不足证
ZYVX11,气血不足，收摄失司证
ZYVX20,气血亏虚证
ZYVX21,气血亏虚，毒滞难化证
ZYVX22,气血亏虚，邪毒久证
ZYVX30,气血两虚证
ZYVX31,气血两亏证
ZYVX40,气血两脱证
ZYVX50,气血两伤证
ZYVX60,气血凝结证
ZYVX61,气血凝滞证
ZYVX70,气血失调证
ZYVX80,气血痹阻证
ZYVX90,气血衰竭证
ZYVXA0,气血瘀滞证
ZYVXA1,气血瘀积证
ZYVXA2,气血瘀阻证
ZYVXB0,气随血脱证
ZYVXC0,气不摄血证
ZYVXD0,气虚血亏证
ZYVXE0,气虚血凝证
ZYVXF0,气虚血脱证
ZYVXG0,气虚血溢证
ZYVXH0,气虚血滞证
ZYVXH1,气虚血滞，络脉瘀阻证
ZYVXH2,气虚血滞，络脉痰阻证
ZYVXM0,气虚血瘀证
ZYVXM1,气虚瘀滞证
ZYVXJ0,气衰血脱证
ZYVXK0,气滞血瘀证
ZYVXK1,气滞血郁证
ZYVXK2,气滞血阻证
ZYVXK3,气滞瘀血证
ZYVXK4,气结血瘀证
ZYVY10,气阴不足证
ZYVY20,气阴亏虚证
ZYVY21,气阴亏虚，湿热内蕴证
ZYVY30,气阴两虚证
ZYVY40,气阴两伤证
ZYVY41,气阴两伤，余热不尽证
ZYVY50,气阴耗伤证
ZYVY51,气阴耗竭证
ZYVY52,气液耗伤证
ZYX,血证类
ZYX010,血滞证
ZYX020,血枯证
ZYX030,血虚证
ZYX031,阴血不足证
ZYX032,阴血亏虚证
ZYX040,血虚失养证
ZYX050,败血入胞证
ZYX060,血败肉腐证
ZYX070,干血内结证
ZYX080,血行郁滞证
ZYX090,血结胸证
ZYX100,精血亏虚证
ZYX110,下焦蓄血证
ZYX111,下焦蓄血，瘀阻膀胱证
ZYX120,血瘀证
ZYX130,血瘀积结证
ZYX131,血瘀成积证
ZYX140,血瘀成痈证
ZYX150,血瘀肉腐证
ZYX160,血瘀失养证
ZYX170,瘀血证
ZYX180,瘀血痹闭证
ZYX181,瘀血痹阻证
ZYX190,瘀血内滞证
ZYX191,瘀血内结证
ZYX192,瘀血内停证
ZYX193,瘀血内停，清窍受阻证
ZYX194,瘀血内阻证
ZYX195,瘀结证
ZYX200,瘀血阻滞证
ZYX201,瘀血凝滞证
ZYX202,瘀血停滞证
ZYX203,瘀血停着证
ZYX204,瘀血留滞证
ZYX210,瘀血阻膈证
ZYX220,瘀肿疼痛证
ZYX230,瘀滞证
ZYX240,瘀滞胞宫证
ZYX250,瘀滞肌肤证
ZYX260,下焦瘀滞证
ZYX270,瘀积发黄证
ZYX280,瘀扰神明证
ZYX290,瘀阻清窍证
ZYX291,瘀停清窍证
ZYX300,瘀阻胸胁证
ZYX301,瘀停胸胁证
ZYX310,瘀阻于上证
ZYX320,瘀阻中焦证
ZYX330,正虚瘀结证
ZYX340,亡血证
ZYX350,瘀闭血脉证
ZYX360,血脉瘀阻证
ZYX370,血虚血瘀证
ZYX380,血不濡筋证
ZYXA10,血虚阳浮证
ZYXF10,瘀血乘肺证
ZYXF20,血虚肠燥证
ZYXF30,瘀阻肠络证
ZYXG10,血虚肝旺证
ZYXG20,血虚生风证
ZYXG21,血虚风动证
ZYXG22,血虚风扰证
ZYXG30,血虚风燥证
ZYXG40,血瘀风燥证
ZYXH00,血寒证
ZYXH10,血寒凝滞证
ZYXH20,血虚寒凝证
ZYXJ10,瘀阻胃络证
ZYXJ20,血虚络损证
ZYXJ30,血瘀络滞证
ZYXJ31,血瘀阻络证
ZYXJ40,瘀血阻络证
ZYXJ50,瘀血伤络证
ZYXJ60,瘀阻经络证
ZYXJ61,瘀阻脉络证
ZYXJ62,瘀阻胞脉证
ZYXJ63,瘀阻脑络证
ZYXJ64,瘀阻冲任证
ZYXJ65,瘀阻心脉证
ZYXJ66,瘀阻宗脉证
ZYXJA0,血虚津亏证
ZYXV10,瘀阻气道证
ZYXV20,瘀阻气闭证
ZYXV30,血虚气脱证
ZYXV40,血瘀气滞证
ZYXV50,血瘀气逆证
ZYXV51,血瘀气逆，阻塞清窍证
ZYXR00,血热证
ZYXR10,血热动风证
ZYXR20,血热内扰证
