,MDC_CODE,MDC_NAME,ADRG_CODE,ADRG_NAME,ICD_CODE,ICD_DESC,AND_FLAG,GROUP_FLAG,is_icd_mdc
55,MDCB,神经系统疾病及功能障碍,AH1,气管切开伴呼吸机支持≥96_小时或ECMO,A17.805+G07*,结核性脑脓肿,N,0,False
56,MDCB,神经系统疾病及功能障碍,AH1,气管切开伴呼吸机支持≥96_小时或ECMO,A17.806+G07*,脊髓结核,N,0,False
57,MDCB,神经系统疾病及功能障碍,AH1,气管切开伴呼吸机支持≥96_小时或ECMO,A17.807+G94.0*,结核性脑积水,N,0,False
58,MDCB,神经系统疾病及功能障碍,AH1,气管切开伴呼吸机支持≥96_小时或ECMO,A17.900+G99.8*,神经系统结核,N,0,False
59,MDCB,神经系统疾病及功能障碍,AH1,气管切开伴呼吸机支持≥96_小时或ECMO,A17.900x001+G99.8*,中枢神经系统结核,N,0,False
60,MDCB,神经系统疾病及功能障碍,AH1,气管切开伴呼吸机支持≥96_小时或ECMO,A18.822+I68.1*,结核性脑动脉炎,N,0,False
61,MDCB,神经系统疾病及功能障碍,AH1,气管切开伴呼吸机支持≥96_小时或ECMO,A20.300,脑膜炎型鼠疫,N,0,False
62,MDCB,神经系统疾病及功能障碍,AH1,气管切开伴呼吸机支持≥96_小时或ECMO,A22.801+G01*,炭疽脑膜炎,N,0,False
63,MDCB,神经系统疾病及功能障碍,AH1,气管切开伴呼吸机支持≥96_小时或ECMO,A23.900x005+G05.0*,布氏杆菌性脑炎,N,0,False
64,MDCB,神经系统疾病及功能障碍,AH1,气管切开伴呼吸机支持≥96_小时或ECMO,A23.900x006,布氏杆菌多发性神经根神经病,N,0,False
65,MDCB,神经系统疾病及功能障碍,AH1,气管切开伴呼吸机支持≥96_小时或ECMO,A27.900x006,钩端螺旋体病脑膜脑炎型,N,0,False
66,MDCB,神经系统疾病及功能障碍,AH1,气管切开伴呼吸机支持≥96_小时或ECMO,A30.900x005,神经性麻风,N,0,False
67,MDCB,神经系统疾病及功能障碍,AH1,气管切开伴呼吸机支持≥96_小时或ECMO,A30.900x008,麻风性神经病,N,0,False
68,MDCB,神经系统疾病及功能障碍,AH1,气管切开伴呼吸机支持≥96_小时或ECMO,A32.101+G01*,利斯特菌性脑膜炎,N,0,False
69,MDCB,神经系统疾病及功能障碍,AH1,气管切开伴呼吸机支持≥96_小时或ECMO,A32.102+G05.0*,利斯特菌性脑膜脑炎,N,0,False
70,MDCB,神经系统疾病及功能障碍,AH1,气管切开伴呼吸机支持≥96_小时或ECMO,A32.801+I68.1*,利斯特菌性大脑动脉炎,N,0,False
71,MDCB,神经系统疾病及功能障碍,AH1,气管切开伴呼吸机支持≥96_小时或ECMO,A36.803+G63.0*,白喉性多神经炎,N,0,False
72,MDCB,神经系统疾病及功能障碍,AH1,气管切开伴呼吸机支持≥96_小时或ECMO,A37.900x005,百日咳脑病,N,0,False
73,MDCB,神经系统疾病及功能障碍,AH1,气管切开伴呼吸机支持≥96_小时或ECMO,A39.000+G01*,脑膜炎球菌性脑膜炎,N,0,False
74,MDCB,神经系统疾病及功能障碍,AH1,气管切开伴呼吸机支持≥96_小时或ECMO,A39.000x004+G01*,双球菌性脑膜炎,N,0,False
75,MDCB,神经系统疾病及功能障碍,AH1,气管切开伴呼吸机支持≥96_小时或ECMO,A39.000x005+G01*,脑膜炎球菌性蛛网膜炎,N,0,False
76,MDCB,神经系统疾病及功能障碍,AH1,气管切开伴呼吸机支持≥96_小时或ECMO,A39.000x006+G01*,流行性脑脊髓膜炎轻型,N,0,False
77,MDCB,神经系统疾病及功能障碍,AH1,气管切开伴呼吸机支持≥96_小时或ECMO,A39.000x007+G01*,流行性脑脊髓膜炎普通型,N,0,False
78,MDCB,神经系统疾病及功能障碍,AH1,气管切开伴呼吸机支持≥96_小时或ECMO,A39.000x008+G01*,流行性脑脊髓膜炎暴发型,N,0,False
79,MDCB,神经系统疾病及功能障碍,AH1,气管切开伴呼吸机支持≥96_小时或ECMO,A39.001+G01*,普通型流行性脑脊髓膜炎,N,0,False
80,MDCB,神经系统疾病及功能障碍,AH1,气管切开伴呼吸机支持≥96_小时或ECMO,A39.002+G01*,暴发型流行性脑脊髓膜炎,N,0,False
81,MDCB,神经系统疾病及功能障碍,AH1,气管切开伴呼吸机支持≥96_小时或ECMO,A39.003+G01*,流行性脑脊髓膜炎,N,0,False
82,MDCB,神经系统疾病及功能障碍,AH1,气管切开伴呼吸机支持≥96_小时或ECMO,A39.100+E35.1*,沃-弗综合征,N,0,False
83,MDCB,神经系统疾病及功能障碍,AH1,气管切开伴呼吸机支持≥96_小时或ECMO,A39.200,急性脑膜炎球菌血症,N,0,False
84,MDCB,神经系统疾病及功能障碍,AH1,气管切开伴呼吸机支持≥96_小时或ECMO,A39.300,慢性脑膜炎球菌血症,N,0,False
85,MDCB,神经系统疾病及功能障碍,AH1,气管切开伴呼吸机支持≥96_小时或ECMO,A39.400,脑膜炎球菌血症,N,0,False
86,MDCB,神经系统疾病及功能障碍,AH1,气管切开伴呼吸机支持≥96_小时或ECMO,A39.802+G05.0*,脑膜炎球菌性脑炎,N,0,False
87,MDCB,神经系统疾病及功能障碍,AH1,气管切开伴呼吸机支持≥96_小时或ECMO,A39.803+G05.0*,脑膜炎球菌性脊髓脊膜炎,N,0,False
88,MDCB,神经系统疾病及功能障碍,AH1,气管切开伴呼吸机支持≥96_小时或ECMO,A39.900,脑膜炎球菌感染,N,0,False
89,MDCB,神经系统疾病及功能障碍,AH1,气管切开伴呼吸机支持≥96_小时或ECMO,A42.800x003+G01*,放线菌脑膜炎,N,0,False
90,MDCB,神经系统疾病及功能障碍,AH1,气管切开伴呼吸机支持≥96_小时或ECMO,A43.801,脑诺卡菌病,N,0,False
91,MDCB,神经系统疾病及功能障碍,AH1,气管切开伴呼吸机支持≥96_小时或ECMO,A48.100x003,军团菌性脑炎,N,0,False
92,MDCB,神经系统疾病及功能障碍,AH1,气管切开伴呼吸机支持≥96_小时或ECMO,A50.400,晚期先天性神经梅毒[青少年神经梅毒],N,0,False
93,MDCB,神经系统疾病及功能障碍,AH1,气管切开伴呼吸机支持≥96_小时或ECMO,A50.400x001,晚期先天性神经梅毒[幼年型神经梅毒],N,0,False
94,MDCB,神经系统疾病及功能障碍,AH1,气管切开伴呼吸机支持≥96_小时或ECMO,A50.400x002+G01*,晚期先天性梅毒性脑膜炎,N,0,False
95,MDCB,神经系统疾病及功能障碍,AH1,气管切开伴呼吸机支持≥96_小时或ECMO,A50.400x003+G05.0*,晚期先天性梅毒性脑炎,N,0,False
96,MDCB,神经系统疾病及功能障碍,AH1,气管切开伴呼吸机支持≥96_小时或ECMO,A50.400x004+G63.0*,晚期先天性梅毒性多神经病,N,0,False
97,MDCB,神经系统疾病及功能障碍,AH1,气管切开伴呼吸机支持≥96_小时或ECMO,A50.401,幼年型麻痹性痴呆,N,0,False
98,MDCB,神经系统疾病及功能障碍,AH1,气管切开伴呼吸机支持≥96_小时或ECMO,A50.402+G01*,先天性梅毒性脑膜炎,N,0,False
99,MDCB,神经系统疾病及功能障碍,AH1,气管切开伴呼吸机支持≥96_小时或ECMO,A51.401+G01*,二期梅毒性脑膜炎,N,0,False
100,MDCB,神经系统疾病及功能障碍,AH1,气管切开伴呼吸机支持≥96_小时或ECMO,A52.001+I68.1*,梅毒性大脑动脉炎,N,0,False
101,MDCB,神经系统疾病及功能障碍,AH1,气管切开伴呼吸机支持≥96_小时或ECMO,A52.100,有症状性神经梅毒,N,0,False
102,MDCB,神经系统疾病及功能障碍,AH1,气管切开伴呼吸机支持≥96_小时或ECMO,A52.100x005+G22*,梅毒性帕金森病,N,0,False
103,MDCB,神经系统疾病及功能障碍,AH1,气管切开伴呼吸机支持≥96_小时或ECMO,A52.100x006+G59.8*,梅毒性神经炎,N,0,False
104,MDCB,神经系统疾病及功能障碍,AH1,气管切开伴呼吸机支持≥96_小时或ECMO,A52.100x007+G05.0*,梅毒性脑炎,N,0,False
105,MDCB,神经系统疾病及功能障碍,AH1,气管切开伴呼吸机支持≥96_小时或ECMO,A52.100x008+G63.0*,梅毒性多神经病,N,0,False
106,MDCB,神经系统疾病及功能障碍,AH1,气管切开伴呼吸机支持≥96_小时或ECMO,A52.100x009+G01*,梅毒性脑膜炎,N,0,False
107,MDCB,神经系统疾病及功能障碍,AH1,气管切开伴呼吸机支持≥96_小时或ECMO,A52.100x010+G05.0*,梅毒性脑膜脑炎,N,0,False
108,MDCB,神经系统疾病及功能障碍,AH1,气管切开伴呼吸机支持≥96_小时或ECMO,A52.100x011,梅毒性痉挛性截瘫,N,0,False
109,MDCB,神经系统疾病及功能障碍,AH1,气管切开伴呼吸机支持≥96_小时或ECMO,A52.101,脊髓痨,N,0,False
110,MDCB,神经系统疾病及功能障碍,AH1,气管切开伴呼吸机支持≥96_小时或ECMO,A52.104+F02.8*,麻痹性痴呆,N,0,False
111,MDCB,神经系统疾病及功能障碍,AH1,气管切开伴呼吸机支持≥96_小时或ECMO,A52.105+G01*,三期梅毒性脑膜炎,N,0,False
112,MDCB,神经系统疾病及功能障碍,AH1,气管切开伴呼吸机支持≥96_小时或ECMO,A52.106+H48.0*,视神经梅毒,N,0,False
113,MDCB,神经系统疾病及功能障碍,AH1,气管切开伴呼吸机支持≥96_小时或ECMO,A52.200,无症状性神经梅毒,N,0,False
114,MDCB,神经系统疾病及功能障碍,AH1,气管切开伴呼吸机支持≥96_小时或ECMO,A52.300,神经梅毒,N,0,False
115,MDCB,神经系统疾病及功能障碍,AH1,气管切开伴呼吸机支持≥96_小时或ECMO,A54.801+G07*,淋球菌性脑脓肿,N,0,False
116,MDCB,神经系统疾病及功能障碍,AH1,气管切开伴呼吸机支持≥96_小时或ECMO,A54.803+G01*,淋球菌性脑膜炎,N,0,False
117,MDCB,神经系统疾病及功能障碍,AH1,气管切开伴呼吸机支持≥96_小时或ECMO,A69.200x002+G63.0*,莱姆病性神经病,N,0,False
118,MDCB,神经系统疾病及功能障碍,AH1,气管切开伴呼吸机支持≥96_小时或ECMO,A79.900x003+G05.2*,立克次体脑炎,N,0,False
119,MDCB,神经系统疾病及功能障碍,AH1,气管切开伴呼吸机支持≥96_小时或ECMO,A80.000,急性麻痹性脊髓灰质炎，与接种有关,N,0,False
120,MDCB,神经系统疾病及功能障碍,AH1,气管切开伴呼吸机支持≥96_小时或ECMO,A80.100,急性麻痹性脊髓灰质炎，(外地)移入性野病毒,N,0,False
121,MDCB,神经系统疾病及功能障碍,AH1,气管切开伴呼吸机支持≥96_小时或ECMO,A80.200,急性麻痹性脊髓灰质炎，本土性野病毒,N,0,False
122,MDCB,神经系统疾病及功能障碍,AH1,气管切开伴呼吸机支持≥96_小时或ECMO,A80.300x001,脊髓灰质炎瘫痪型,N,0,False
123,MDCB,神经系统疾病及功能障碍,AH1,气管切开伴呼吸机支持≥96_小时或ECMO,A80.301,急性麻痹性脊髓灰质炎,N,0,False
124,MDCB,神经系统疾病及功能障碍,AH1,气管切开伴呼吸机支持≥96_小时或ECMO,A80.400,急性非麻痹性脊髓灰质炎,N,0,False
125,MDCB,神经系统疾病及功能障碍,AH1,气管切开伴呼吸机支持≥96_小时或ECMO,A80.400x001,脊髓灰质炎无瘫痪型,N,0,False
126,MDCB,神经系统疾病及功能障碍,AH1,气管切开伴呼吸机支持≥96_小时或ECMO,A80.400x002,脊髓灰质炎顿挫型,N,0,False
127,MDCB,神经系统疾病及功能障碍,AH1,气管切开伴呼吸机支持≥96_小时或ECMO,A80.900,急性脊髓灰质炎,N,0,False
128,MDCB,神经系统疾病及功能障碍,AH1,气管切开伴呼吸机支持≥96_小时或ECMO,A81.000,克罗伊茨费尔特-雅各布病,N,0,False
129,MDCB,神经系统疾病及功能障碍,AH1,气管切开伴呼吸机支持≥96_小时或ECMO,A81.000x002,亚急性海绵状脑病,N,0,False
130,MDCB,神经系统疾病及功能障碍,AH1,气管切开伴呼吸机支持≥96_小时或ECMO,A81.000x004,可传播性海绵状脑病,N,0,False
131,MDCB,神经系统疾病及功能障碍,AH1,气管切开伴呼吸机支持≥96_小时或ECMO,A81.000x006,常染色体显性遗传朊蛋白病,N,0,False
132,MDCB,神经系统疾病及功能障碍,AH1,气管切开伴呼吸机支持≥96_小时或ECMO,A81.000x007,家族性致死性睡眠症,N,0,False
133,MDCB,神经系统疾病及功能障碍,AH1,气管切开伴呼吸机支持≥96_小时或ECMO,A81.001+F02.1*,克罗伊茨费尔特-雅各布病性痴呆,N,0,False
134,MDCB,神经系统疾病及功能障碍,AH1,气管切开伴呼吸机支持≥96_小时或ECMO,A81.100,亚急性硬化性全脑炎,N,0,False
135,MDCB,神经系统疾病及功能障碍,AH1,气管切开伴呼吸机支持≥96_小时或ECMO,A81.101,亚急性包涵体脑炎,N,0,False
136,MDCB,神经系统疾病及功能障碍,AH1,气管切开伴呼吸机支持≥96_小时或ECMO,A81.200,进行性多灶性白质脑病,N,0,False
137,MDCB,神经系统疾病及功能障碍,AH1,气管切开伴呼吸机支持≥96_小时或ECMO,A81.200x001,播散性坏死性脑白质病,N,0,False
138,MDCB,神经系统疾病及功能障碍,AH1,气管切开伴呼吸机支持≥96_小时或ECMO,A81.800,中枢神经系统其他的非典型病毒感染,N,0,False
139,MDCB,神经系统疾病及功能障碍,AH1,气管切开伴呼吸机支持≥96_小时或ECMO,A81.800x001,库鲁病[新几内亚震颤病],N,0,False
140,MDCB,神经系统疾病及功能障碍,AH1,气管切开伴呼吸机支持≥96_小时或ECMO,A81.801,朊蛋白病,N,0,False
141,MDCB,神经系统疾病及功能障碍,AH1,气管切开伴呼吸机支持≥96_小时或ECMO,A81.900,中枢神经系统的非典型病毒感染,N,0,False
142,MDCB,神经系统疾病及功能障碍,AH1,气管切开伴呼吸机支持≥96_小时或ECMO,A82.000,森林狂犬病,N,0,False
143,MDCB,神经系统疾病及功能障碍,AH1,气管切开伴呼吸机支持≥96_小时或ECMO,A82.100,城市狂犬病,N,0,False
144,MDCB,神经系统疾病及功能障碍,AH1,气管切开伴呼吸机支持≥96_小时或ECMO,A82.900,狂犬病,N,0,False
145,MDCB,神经系统疾病及功能障碍,AH1,气管切开伴呼吸机支持≥96_小时或ECMO,A83.000,日本脑炎,N,0,False
146,MDCB,神经系统疾病及功能障碍,AH1,气管切开伴呼吸机支持≥96_小时或ECMO,A83.000x001,流行性乙型脑炎,N,0,False
147,MDCB,神经系统疾病及功能障碍,AH1,气管切开伴呼吸机支持≥96_小时或ECMO,A83.000x002,流行性乙型脑炎轻型,N,0,False
148,MDCB,神经系统疾病及功能障碍,AH1,气管切开伴呼吸机支持≥96_小时或ECMO,A83.000x003,流行性乙型脑炎普通型,N,0,False
149,MDCB,神经系统疾病及功能障碍,AH1,气管切开伴呼吸机支持≥96_小时或ECMO,A83.000x004,流行性乙型脑炎重型,N,0,False
150,MDCB,神经系统疾病及功能障碍,AH1,气管切开伴呼吸机支持≥96_小时或ECMO,A83.000x005,流行性乙型脑炎极重型,N,0,False
151,MDCB,神经系统疾病及功能障碍,AH1,气管切开伴呼吸机支持≥96_小时或ECMO,A83.100,西方马脑炎,N,0,False
152,MDCB,神经系统疾病及功能障碍,AH1,气管切开伴呼吸机支持≥96_小时或ECMO,A83.200,东方马脑炎,N,0,False
153,MDCB,神经系统疾病及功能障碍,AH1,气管切开伴呼吸机支持≥96_小时或ECMO,A83.300,圣路易斯脑炎,N,0,False
154,MDCB,神经系统疾病及功能障碍,AH1,气管切开伴呼吸机支持≥96_小时或ECMO,A83.400,澳大利亚脑炎,N,0,False
155,MDCB,神经系统疾病及功能障碍,AH1,气管切开伴呼吸机支持≥96_小时或ECMO,A83.500,加利福尼亚脑炎,N,0,False
156,MDCB,神经系统疾病及功能障碍,AH1,气管切开伴呼吸机支持≥96_小时或ECMO,A83.600,罗西欧病毒病,N,0,False
157,MDCB,神经系统疾病及功能障碍,AH1,气管切开伴呼吸机支持≥96_小时或ECMO,A83.800,蚊媒介病毒性脑炎，其他的,N,0,False
158,MDCB,神经系统疾病及功能障碍,AH1,气管切开伴呼吸机支持≥96_小时或ECMO,A83.900,蚊媒介的病毒性脑炎,N,0,False
159,MDCB,神经系统疾病及功能障碍,AH1,气管切开伴呼吸机支持≥96_小时或ECMO,A84.000,远东蜱媒介的脑炎[俄罗斯春-夏型脑炎],N,0,False
160,MDCB,神经系统疾病及功能障碍,AH1,气管切开伴呼吸机支持≥96_小时或ECMO,A84.000x001,森林脑炎,N,0,False
161,MDCB,神经系统疾病及功能障碍,AH1,气管切开伴呼吸机支持≥96_小时或ECMO,A84.100,中部欧洲蜱媒介的脑炎,N,0,False
162,MDCB,神经系统疾病及功能障碍,AH1,气管切开伴呼吸机支持≥96_小时或ECMO,A84.800x001,羊跳跃脑炎,N,0,False
163,MDCB,神经系统疾病及功能障碍,AH1,气管切开伴呼吸机支持≥96_小时或ECMO,A84.900,蜱媒介的病毒性脑炎,N,0,False
164,MDCB,神经系统疾病及功能障碍,AH1,气管切开伴呼吸机支持≥96_小时或ECMO,A85.000+G05.1*,肠病毒性脑炎,N,0,False
165,MDCB,神经系统疾病及功能障碍,AH1,气管切开伴呼吸机支持≥96_小时或ECMO,A85.000x002+G05.1*,柯萨奇病毒性脑炎,N,0,False
166,MDCB,神经系统疾病及功能障碍,AH1,气管切开伴呼吸机支持≥96_小时或ECMO,A85.000x003+G05.1*,埃可病毒性脑炎,N,0,False
167,MDCB,神经系统疾病及功能障碍,AH1,气管切开伴呼吸机支持≥96_小时或ECMO,A85.001+G05.1*,肠病毒性脑脊髓炎,N,0,False
168,MDCB,神经系统疾病及功能障碍,AH1,气管切开伴呼吸机支持≥96_小时或ECMO,A85.100+G05.1*,腺病毒性脑炎,N,0,False
169,MDCB,神经系统疾病及功能障碍,AH1,气管切开伴呼吸机支持≥96_小时或ECMO,A85.101+G05.1*,腺病毒性脑脊髓炎,N,0,False
170,MDCB,神经系统疾病及功能障碍,AH1,气管切开伴呼吸机支持≥96_小时或ECMO,A85.200,节肢动物媒介的病毒性脑炎,N,0,False
171,MDCB,神经系统疾病及功能障碍,AH1,气管切开伴呼吸机支持≥96_小时或ECMO,A85.200x001+G05.1*,虫媒病毒性脑炎,N,0,False
172,MDCB,神经系统疾病及功能障碍,AH1,气管切开伴呼吸机支持≥96_小时或ECMO,A85.800,病毒性脑炎，其他特指的,N,0,False
173,MDCB,神经系统疾病及功能障碍,AH1,气管切开伴呼吸机支持≥96_小时或ECMO,A86.x00,病毒性脑炎,N,0,False
174,MDCB,神经系统疾病及功能障碍,AH1,气管切开伴呼吸机支持≥96_小时或ECMO,A86.x01,病毒性脑脊髓炎,N,0,False
175,MDCB,神经系统疾病及功能障碍,AH1,气管切开伴呼吸机支持≥96_小时或ECMO,A86.x02,病毒性脑膜脑炎,N,0,False
176,MDCB,神经系统疾病及功能障碍,AH1,气管切开伴呼吸机支持≥96_小时或ECMO,A87.000+G02.0*,肠病毒性脑膜炎,N,0,False
177,MDCB,神经系统疾病及功能障碍,AH1,气管切开伴呼吸机支持≥96_小时或ECMO,A87.000x001+G02.0*,肠道病毒性脑膜炎,N,0,False
178,MDCB,神经系统疾病及功能障碍,AH1,气管切开伴呼吸机支持≥96_小时或ECMO,A87.000x002+G02.0*,柯萨奇病毒性脑膜炎,N,0,False
179,MDCB,神经系统疾病及功能障碍,AH1,气管切开伴呼吸机支持≥96_小时或ECMO,A87.000x003+G02.0*,埃可病毒性脑膜炎,N,0,False
180,MDCB,神经系统疾病及功能障碍,AH1,气管切开伴呼吸机支持≥96_小时或ECMO,A87.100+G02.0*,腺病毒性脑膜炎,N,0,False
181,MDCB,神经系统疾病及功能障碍,AH1,气管切开伴呼吸机支持≥96_小时或ECMO,A87.200x001+G02.0*,淋巴细胞性脉络丛脑膜炎,N,0,False
182,MDCB,神经系统疾病及功能障碍,AH1,气管切开伴呼吸机支持≥96_小时或ECMO,A87.200x002+G02.0*,复发性淋巴细胞性脑膜炎,N,0,False
183,MDCB,神经系统疾病及功能障碍,AH1,气管切开伴呼吸机支持≥96_小时或ECMO,A87.800,病毒性脑膜炎，其他的,N,0,False
184,MDCB,神经系统疾病及功能障碍,AH1,气管切开伴呼吸机支持≥96_小时或ECMO,A87.801,乙脑病毒性脑膜炎,N,0,False
185,MDCB,神经系统疾病及功能障碍,AH1,气管切开伴呼吸机支持≥96_小时或ECMO,A87.900,病毒性脑膜炎,N,0,False
186,MDCB,神经系统疾病及功能障碍,AH1,气管切开伴呼吸机支持≥96_小时或ECMO,A87.901,病毒性脑脊髓膜炎,N,0,False
187,MDCB,神经系统疾病及功能障碍,AH1,气管切开伴呼吸机支持≥96_小时或ECMO,A88.000,肠病毒疹热[波士顿疹病],N,0,False
188,MDCB,神经系统疾病及功能障碍,AH1,气管切开伴呼吸机支持≥96_小时或ECMO,A88.100,流行性眩晕,N,0,False
189,MDCB,神经系统疾病及功能障碍,AH1,气管切开伴呼吸机支持≥96_小时或ECMO,A88.800,中枢神经系统其他特指的病毒性感染,N,0,False
190,MDCB,神经系统疾病及功能障碍,AH1,气管切开伴呼吸机支持≥96_小时或ECMO,A88.800x001,脊髓灰质炎样综合征,N,0,False
191,MDCB,神经系统疾病及功能障碍,AH1,气管切开伴呼吸机支持≥96_小时或ECMO,A89.x00,中枢神经系统的病毒性感染,N,0,False
192,MDCB,神经系统疾病及功能障碍,AH1,气管切开伴呼吸机支持≥96_小时或ECMO,A92.300x002,西尼罗脑炎,N,0,False
193,MDCB,神经系统疾病及功能障碍,AH1,气管切开伴呼吸机支持≥96_小时或ECMO,A92.300x003,西尼罗脑膜炎,N,0,False
194,MDCB,神经系统疾病及功能障碍,AH1,气管切开伴呼吸机支持≥96_小时或ECMO,A92.300x004,西尼罗病毒性脑膜脑炎,N,0,False
195,MDCB,神经系统疾病及功能障碍,AH1,气管切开伴呼吸机支持≥96_小时或ECMO,B00.300+G02.0*,疱疹病毒性脑膜炎,N,0,False
196,MDCB,神经系统疾病及功能障碍,AH1,气管切开伴呼吸机支持≥96_小时或ECMO,B00.400+G05.1*,疱疹病毒性脑炎,N,0,False
197,MDCB,神经系统疾病及功能障碍,AH1,气管切开伴呼吸机支持≥96_小时或ECMO,B00.400x001+G05.1*,单纯疱疹病毒性脑炎,N,0,False
198,MDCB,神经系统疾病及功能障碍,AH1,气管切开伴呼吸机支持≥96_小时或ECMO,B00.401+G05.1*,疱疹病毒性脑膜脑炎,N,0,False
199,MDCB,神经系统疾病及功能障碍,AH1,气管切开伴呼吸机支持≥96_小时或ECMO,B01.000+G02.0*,水痘脑膜炎,N,0,False
200,MDCB,神经系统疾病及功能障碍,AH1,气管切开伴呼吸机支持≥96_小时或ECMO,B01.000x001+G02.0*,水痘性脑膜炎,N,0,False
201,MDCB,神经系统疾病及功能障碍,AH1,气管切开伴呼吸机支持≥96_小时或ECMO,B01.100+G05.1*,水痘脑炎,N,0,False
202,MDCB,神经系统疾病及功能障碍,AH1,气管切开伴呼吸机支持≥96_小时或ECMO,B02.000+G05.1*,带状疱疹脑炎,N,0,False
203,MDCB,神经系统疾病及功能障碍,AH1,气管切开伴呼吸机支持≥96_小时或ECMO,B02.000x002+G05.1*,带状疱疹性脑炎,N,0,False
204,MDCB,神经系统疾病及功能障碍,AH1,气管切开伴呼吸机支持≥96_小时或ECMO,B02.000x003+G05.1*,带状疱疹性脑膜脑炎,N,0,False
205,MDCB,神经系统疾病及功能障碍,AH1,气管切开伴呼吸机支持≥96_小时或ECMO,B02.001+G05.1*,带状疱疹神经根脊髓炎,N,0,False
206,MDCB,神经系统疾病及功能障碍,AH1,气管切开伴呼吸机支持≥96_小时或ECMO,B02.100+G02.0*,带状疱疹脑膜炎,N,0,False
207,MDCB,神经系统疾病及功能障碍,AH1,气管切开伴呼吸机支持≥96_小时或ECMO,B02.200x004+G53.0*,拉姆齐-亨特综合征[Ramsy-Hunt综合征],N,0,False
208,MDCB,神经系统疾病及功能障碍,AH1,气管切开伴呼吸机支持≥96_小时或ECMO,B02.200x008+G63.0*,带状疱疹性多神经病,N,0,False
209,MDCB,神经系统疾病及功能障碍,AH1,气管切开伴呼吸机支持≥96_小时或ECMO,B02.201+G53.0*,带状疱疹性坐骨神经痛,N,0,False
210,MDCB,神经系统疾病及功能障碍,AH1,气管切开伴呼吸机支持≥96_小时或ECMO,B02.202+G53.0*,带状疱疹性神经痛,N,0,False
211,MDCB,神经系统疾病及功能障碍,AH1,气管切开伴呼吸机支持≥96_小时或ECMO,B02.203+G53.0*,带状疱疹性神经根炎,N,0,False
212,MDCB,神经系统疾病及功能障碍,AH1,气管切开伴呼吸机支持≥96_小时或ECMO,B02.204+G53.1*,带状疱疹性多脑神经麻痹,N,0,False
213,MDCB,神经系统疾病及功能障碍,AH1,气管切开伴呼吸机支持≥96_小时或ECMO,B02.206+G53.0*,带状疱疹性肋间神经痛,N,0,False
214,MDCB,神经系统疾病及功能障碍,AH1,气管切开伴呼吸机支持≥96_小时或ECMO,B02.207+G53.0*,疱疹后三叉神经痛,N,0,False
215,MDCB,神经系统疾病及功能障碍,AH1,气管切开伴呼吸机支持≥96_小时或ECMO,B05.000+G05.1*,麻疹并发脑炎,N,0,False
216,MDCB,神经系统疾病及功能障碍,AH1,气管切开伴呼吸机支持≥96_小时或ECMO,B05.100+G02.0*,麻疹并发脑膜炎,N,0,False
